"dx2" "cod_label" "sex" "cases" "LYL"
"Organic Disorders" "Infectious Diseases" "Females" 693 0.0979173714021803
"Organic Disorders" "Infectious Diseases" "Males" 500 0.184764590055225
"Substance Use Disorders" "Infectious Diseases" "Females" 330 0.279341196405484
"Substance Use Disorders" "Infectious Diseases" "Males" 565 0.327181657198899
"Schizophrenia" "Infectious Diseases" "Females" 237 0.127810235043182
"Schizophrenia" "Infectious Diseases" "Males" 239 0.287362442801181
"Mood Disorders" "Infectious Diseases" "Females" 639 0.0916341194880061
"Mood Disorders" "Infectious Diseases" "Males" 405 0.15112967544402
"Neurotic Disorders" "Infectious Diseases" "Females" 423 0.10699481886723
"Neurotic Disorders" "Infectious Diseases" "Males" 323 0.179217372252786
"Eating Disorders" "Infectious Diseases" "Females" 4 0.0859270556456412
"Eating Disorders" "Infectious Diseases" "Males" NA NA
"Personality Disorders" "Infectious Diseases" "Females" 287 0.146778709070608
"Personality Disorders" "Infectious Diseases" "Males" 276 0.271706535485533
"Intellectual Disabilities" "Infectious Diseases" "Females" 25 0.232999133676668
"Intellectual Disabilities" "Infectious Diseases" "Males" 34 0.382223870865377
"Developmental Disorders" "Infectious Diseases" "Females" NA NA
"Developmental Disorders" "Infectious Diseases" "Males" 6 0.623660353509308
"Behavioral Disorders" "Infectious Diseases" "Females" 15 0.342801060444011
"Behavioral Disorders" "Infectious Diseases" "Males" 16 0.074837771202773
"Any Disorder" "Infectious Diseases" "Females" 1552 0.110967958755683
"Any Disorder" "Infectious Diseases" "Males" 1370 0.218954457074704
"Organic Disorders" "Neoplasms" "Females" 4678 -0.203087057187217
"Organic Disorders" "Neoplasms" "Males" 4311 -0.658374642376358
"Substance Use Disorders" "Neoplasms" "Females" 4133 0.375222863592638
"Substance Use Disorders" "Neoplasms" "Males" 6330 -0.268424921978108
"Schizophrenia" "Neoplasms" "Females" 3086 -0.037319246179309
"Schizophrenia" "Neoplasms" "Males" 2204 -0.992945659569891
"Mood Disorders" "Neoplasms" "Females" 8209 0.014994819275758
"Mood Disorders" "Neoplasms" "Males" 5064 -0.660169019899505
"Neurotic Disorders" "Neoplasms" "Females" 7086 0.418558895654443
"Neurotic Disorders" "Neoplasms" "Males" 4236 -0.266522453587711
"Eating Disorders" "Neoplasms" "Females" 89 -0.650750170883764
"Eating Disorders" "Neoplasms" "Males" 9 -0.600566573008511
"Personality Disorders" "Neoplasms" "Females" 4573 0.184840713569399
"Personality Disorders" "Neoplasms" "Males" 3275 -0.466131110259613
