"dx2" "cod_label" "sex2" "cases" "specific" "irr" "left" "right" "diagnosed" "diag_left" "diag_right" "undiagnosed" "undiag_left" "undiag_right"
"Organic Disorders" "Natural Causes" "Males" 36353 35 36.7731344968811 22.5753677752729 59.8999508750798 1960.59371726171 1208.10080771728 3181.79385330371 53.3159259901544 50.2081824027414 56.6160300603196
"Organic Disorders" "Natural Causes" "Males" 36353 36 31.2176800913799 21.7921295345597 44.719977859081 1890.63603243647 1323.38873872672 2701.02389611255 60.5629895271593 57.9490342894184 63.294854615663
"Organic Disorders" "Natural Causes" "Males" 36353 37 26.8198319388245 20.6689445779075 34.8011666737756 1846.92164908653 1426.28845213096 2391.60569011694 68.864027682922 66.6464103680856 71.1554348167134
"Organic Disorders" "Natural Causes" "Males" 36353 38 23.3026933878225 19.2553813218708 28.2007149092443 1825.88046747532 1511.39964986877 2205.7961187151 78.354911043438 76.3594249837809 80.4025447536979
"Organic Disorders" "Natural Causes" "Males" 36353 39 20.4625627290126 17.6258791073568 23.7557781310329 1824.91505783841 1574.64071232001 2114.9681589387 89.1831136698727 87.1894927895298 91.2223194491223
"Organic Disorders" "Natural Causes" "Males" 36353 40 18.1479240320274 15.9253224894288 20.6807207132452 1842.13951981414 1619.44752508588 2095.45413352069 101.50690054483 99.3348188978648 103.726477508476
"Organic Disorders" "Natural Causes" "Males" 36353 41 16.2448647220891 14.3406107108711 18.4019798849239 1876.18236527832 1659.29273318526 2121.42209592159 115.493874364319 113.059254644869 117.98092122206
"Organic Disorders" "Natural Causes" "Males" 36353 42 14.6668434029888 12.9870105132063 16.5639579015546 1926.03136991061 1708.47394033452 2171.29260815848 131.318738258167 128.625091618909 134.06879482589
"Organic Disorders" "Natural Causes" "Males" 36353 43 13.3474349254525 11.8807947398839 14.995126419542 1990.90506636845 1775.08190175606 2232.96906997381 149.160125334039 146.268293927555 152.109130367555
"Organic Disorders" "Natural Causes" "Males" 36353 44 12.2351349019559 10.987479003329 13.6244652684845 2070.14014643848 1861.83031634215 2301.75660385411 169.196348305694 166.195529807408 172.251349438556
"Organic Disorders" "Natural Causes" "Males" 36353 45 11.289603691556 10.2588190215763 12.423959448386 2163.08734333104 1968.20277074591 2377.26870646854 191.599935872763 188.578276539408 194.670012368976
"Organic Disorders" "Natural Causes" "Males" 36353 46 10.4789268287126 9.64728743105967 11.3822572682953 2269.01093510195 2091.39645130568 2461.70955315432 216.530850171106 213.540879444773 219.562686066147
"Organic Disorders" "Natural Causes" "Males" 36353 47 9.77760046386398 9.11074716870573 10.4932635118371 2386.98922067146 2226.58069710996 2558.95398132086 244.128324683884 241.151404695018 247.141993588359
"Organic Disorders" "Natural Causes" "Males" 36353 48 9.16503918288191 8.61671010791879 9.74826147935118 2515.81542034246 2367.73677441862 2673.15492905119 274.501327287438 271.436411130475 277.60085085396
"Organic Disorders" "Natural Causes" "Males" 36353 49 8.62512197069286 8.15093276723482 9.12689763659605 2654.35276286369 2511.006156211 2805.8826428182 307.746692960733 304.458987873208 311.069900382475
"Organic Disorders" "Natural Causes" "Males" 36353 50 8.14704058039292 7.71818647599077 8.59972357820606 2803.00006192716 2658.21545470247 2955.67062980718 344.051319527366 340.439096233002 347.701870256132
"Organic Disorders" "Natural Causes" "Males" 36353 51 7.72229151470658 7.32434766705293 8.14185630569663 2962.64229777633 2812.90415904949 3120.35138358192 383.648078052244 379.658541716382 387.679537322602
"Organic Disorders" "Natural Causes" "Males" 36353 52 7.34365298045824 6.9714554191787 7.73572171874356 3134.25276069041 2978.46879635319 3298.18475181721 426.797503780578 422.422207141419 431.218118161931
"Organic Disorders" "Natural Causes" "Males" 36353 53 7.00496074150747 6.65812304277168 7.36986605306621 3318.90287849183 3157.74026277638 3488.29080298596 473.793216116953 469.05793826208 478.576297994601
"Organic Disorders" "Natural Causes" "Males" 36353 54 6.70092617632772 6.38089300434793 7.03701058613546 3517.77324340298 3352.9928026644 3690.65170141986 524.968213473266 519.92158285376 530.063829327181
"Organic Disorders" "Natural Causes" "Males" 36353 55 6.42698805590598 6.13536779965766 6.73246931880154 3732.16599687479 3566.07831939591 3905.98909521088 580.702183419366 575.403572799029 586.049586358404
"Organic Disorders" "Natural Causes" "Males" 36353 56 6.17919139546277 5.91687863584948 6.45313325685264 3963.51875354623 3798.53445999979 4135.6689205114 641.430002711447 635.935964015283 646.971506031256
"Organic Disorders" "Natural Causes" "Males" 36353 57 5.95408815364967 5.72081740785708 6.19687069416723 4213.42027144819 4051.63665516543 4381.66397799205 707.651644167462 702.000353289236 713.348429450984
"Organic Disorders" "Natural Causes" "Males" 36353 58 5.74865565480796 5.54279374160316 5.9621633743126 4483.62810548092 4326.4127610171 4646.55641953415 779.943759847746 774.138309865839 785.792746299898
"Organic Disorders" "Natural Causes" "Males" 36353 59 5.56022946815363 5.37874842093881 5.7478337559294 4776.08851572211 4623.66884197233 4933.53271820437 858.973274947957 852.967432622753 865.021405103453
"Organic Disorders" "Natural Causes" "Males" 36353 60 5.38644814851842 5.22513127645829 5.55274539941199 5092.95894200595 4944.11668610376 5246.28208267454 945.513407273178 939.206899407184 951.862261550267
"Organic Disorders" "Natural Causes" "Males" 36353 61 5.2252077689774 5.07920035465301 5.37541233315789 5436.63340234282 5288.72160817236 5588.68190486655 1040.4626270788 1033.71363771968 1047.25567976039
"Organic Disorders" "Natural Causes" "Males" 36353 62 5.07462458850291 4.93934372280622 5.21361058460776 5809.77122615162 5659.29094687252 5964.25276895728 1144.86719654381 1137.52344430793 1152.25835940421
