"dx2" "cod_label" "sex" "cases" "LYL"
"Organic Disorders" "Infectious Diseases" "Females" 294 0.0397986724902774
"Organic Disorders" "Infectious Diseases" "Males" 198 0.116649944463233
"Substance Use Disorders" "Infectious Diseases" "Females" 140 0.152269235893193
"Substance Use Disorders" "Infectious Diseases" "Males" 297 0.215036716596282
"Schizophrenia" "Infectious Diseases" "Females" 94 0.0568891539753826
"Schizophrenia" "Infectious Diseases" "Males" 132 0.200904771137223
"Mood Disorders" "Infectious Diseases" "Females" 233 0.0252908636603164
"Mood Disorders" "Infectious Diseases" "Males" 172 0.0867825407719608
"Neurotic Disorders" "Infectious Diseases" "Females" 177 0.0480517891980297
"Neurotic Disorders" "Infectious Diseases" "Males" 165 0.115143758854787
"Eating Disorders" "Infectious Diseases" "Females" NA NA
"Eating Disorders" "Infectious Diseases" "Males" NA NA
"Personality Disorders" "Infectious Diseases" "Females" 116 0.070294806793617
"Personality Disorders" "Infectious Diseases" "Males" 149 0.190996317215885
"Intellectual Disabilities" "Infectious Diseases" "Females" 7 0.0535059162166411
"Intellectual Disabilities" "Infectious Diseases" "Males" 17 0.230004965171945
"Developmental Disorders" "Infectious Diseases" "Females" NA NA
"Developmental Disorders" "Infectious Diseases" "Males" NA NA
"Behavioral Disorders" "Infectious Diseases" "Females" 8 0.179697792664594
"Behavioral Disorders" "Infectious Diseases" "Males" 8 0.0587291691904978
"Any Disorder" "Infectious Diseases" "Females" 636 0.04871728846209
"Any Disorder" "Infectious Diseases" "Males" 634 0.135659179171444
"Organic Disorders" "Neoplasms" "Females" 4678 -0.277322215974757
"Organic Disorders" "Neoplasms" "Males" 4311 -0.713872327974644
"Substance Use Disorders" "Neoplasms" "Females" 4133 0.324703527927383
"Substance Use Disorders" "Neoplasms" "Males" 6330 -0.296517712259639
"Schizophrenia" "Neoplasms" "Females" 3085 -0.0913051252427824
"Schizophrenia" "Neoplasms" "Males" 2204 -1.02168344002625
"Mood Disorders" "Neoplasms" "Females" 8208 -0.0282956661271931
"Mood Disorders" "Neoplasms" "Males" 5063 -0.687281978697661
"Neurotic Disorders" "Neoplasms" "Females" 7085 0.374916849210647
"Neurotic Disorders" "Neoplasms" "Males" 4236 -0.285915891223496
"Eating Disorders" "Neoplasms" "Females" 89 -0.67297138002373
"Eating Disorders" "Neoplasms" "Males" 9 -0.631072593669044
