"sex" "dx2" "cod_label" "n" "fu" "deaths" "rate1000" "left" "right" "MRR" "MRR_left" "MRR_right"
"both" "All Danish population" "Accidents" 6669734 103912052.680822 38204 0.367657062047923 0.363988794905081 0.371362297866778 NA NA NA
"both" "All Danish population" "Alcohol Misuse" 6669734 103912052.680822 26964 0.259488666659517 0.256409841321795 0.262604460802381 NA NA NA
"both" "All Danish population" "All Causes" 6669734 103912052.680822 1119676 10.7752274265933 10.7552873785354 10.795204443028 NA NA NA
"both" "All Danish population" "Diabetes Mellitus" 6669734 103912052.680822 25731 0.247622863144045 0.2446156793239 0.250667015790363 NA NA NA
"both" "All Danish population" "Digestive Diseases" 6669734 103912052.680822 39007 0.375384750793198 0.371677940977325 0.379128529278706 NA NA NA
"both" "All Danish population" "Dis. Circulatory System" 6669734 103912052.680822 379271 3.6499230860637 3.63832554043452 3.66155760009034 NA NA NA
"both" "All Danish population" "Homicide" 6669734 103912052.680822 915 0.0088055232900704 0.00825306594122374 0.00939496194071064 NA NA NA
"both" "All Danish population" "Infectious Diseases" 6669734 103912052.680822 14022 0.134941035599308 0.132725912093003 0.137193128315851 NA NA NA
"both" "All Danish population" "Natural Causes" 6669734 103912052.680822 1066629 10.2647284167918 10.245266893407 10.284226908554 NA NA NA
"both" "All Danish population" "Neoplasms" 6669734 103912052.680822 316828 3.04900145677205 3.03840311197045 3.05963676997723 NA NA NA
"both" "All Danish population" "Other Causes" 6669734 103912052.680822 152480 1.4673947445573 1.46004792892814 1.47477852863033 NA NA NA
"both" "All Danish population" "Respiratory Diseases" 6669734 103912052.680822 112326 1.08097181320267 1.07466872979701 1.08731186507994 NA NA NA
"both" "All Danish population" "Suicide" 6669734 103912052.680822 13928 0.134036424463498 0.131828799640248 0.136281018502682 NA NA NA
"both" "All Danish population" "Unnatural Causes" 6669734 103912052.680822 53047 0.510499009801491 0.506173213957929 0.51486177423439 NA NA NA
"both" "Any Disorder" "Accidents" 726641 7114478.33867805 10383 1.45941831652681 1.43161501449788 1.48776158467505 4.5915493436071 4.48775569263832 4.69774355350094
"both" "Any Disorder" "Alcohol Misuse" 726641 7114478.33867805 11523 1.61965494186059 1.59035079661352 1.64949905157995 8.91737777325669 8.70368756459709 9.13631443693183
