"dx2" "cod_label" "sex2" "cases" "specific" "irr" "left" "right" "diagnosed" "diag_left" "diag_right" "undiagnosed" "undiag_left" "undiag_right"
"Organic Disorders" "All Causes" "Males" 37999 35 22.56405868066 14.4543974865865 35.2236573414244 1925.1795121353 1236.33221777537 2997.8318939343 85.3206215859295 81.4013721197173 89.4285720037155
"Organic Disorders" "All Causes" "Males" 37999 36 21.2962492284461 15.3548903327656 29.5365334021508 2081.54961184556 1503.52815383981 2881.78759773064 97.7425456246615 94.4509195560397 101.148885263321
"Organic Disorders" "All Causes" "Males" 37999 37 20.0033825622415 15.8036865249946 25.3191123032304 2214.59790201357 1752.05249547415 2799.25623248842 110.711170729387 107.932125025748 113.56177154251
"Organic Disorders" "All Causes" "Males" 37999 38 18.7133030992418 15.7760844273397 22.197378221254 2323.20938910395 1960.96519022469 2752.37005354609 124.147478228901 121.636844181268 126.709932786706
"Organic Disorders" "All Causes" "Males" 37999 39 17.449236330097 15.2959929532917 19.9055955002943 2408.01920379337 2113.62766366097 2743.41436078391 138.00140924448 135.471423036411 140.578644016635
"Organic Disorders" "All Causes" "Males" 37999 40 16.229817268401 14.4770789897841 18.1947593676571 2471.16889814034 2207.49686762635 2766.33494375121 152.261042578197 149.521517344657 155.050761246357
"Organic Disorders" "All Causes" "Males" 37999 41 15.0693437245119 13.5123548335289 16.8057398643801 2515.98804744577 2259.44547224416 2801.65904982102 166.960691417056 163.966505903775 170.009553626888
"Organic Disorders" "All Causes" "Males" 37999 42 13.9781862326029 12.5622486662258 15.5537193654384 2546.66106403642 2292.06757632038 2829.5337546246 182.188233985362 178.996055293584 185.437341332822
"Organic Disorders" "All Causes" "Males" 37999 43 12.9632934074866 11.699130046796 14.3640574381518 2567.92847664964 2320.69103096814 2841.505643445 198.092289970588 194.806162746772 201.433849897245
"Organic Disorders" "All Causes" "Males" 37999 44 12.0287415986675 10.9370219859333 13.2294352734784 2584.85786924177 2353.18508050722 2839.33901312213 214.890131942655 211.619053619342 218.21177260057
"Organic Disorders" "All Causes" "Males" 37999 45 11.1762890958223 10.2650913555264 12.1683708042353 2602.70623188318 2393.17966692363 2830.57717024289 232.877497134185 229.700478891798 236.098457143526
"Organic Disorders" "All Causes" "Males" 37999 46 10.4059064344881 9.66414747635043 11.2045981281126 2626.88550882589 2442.11439489916 2825.6364611308 252.441776731689 249.376714708054 255.54451109863
"Organic Disorders" "All Causes" "Males" 37999 47 9.71626463375714 9.11425625237948 10.3580364452177 2663.03832108938 2500.44995217702 2836.19877831031 274.080464197857 271.064365639451 277.130122499508
"Organic Disorders" "All Causes" "Males" 37999 48 9.10517196761155 8.6014499216926 9.63839321446229 2717.2320921059 2569.38329060853 2873.58848691725 298.427322599892 295.330779138263 301.556333322257
"Organic Disorders" "All Causes" "Males" 37999 49 8.56850590209951 8.1246790415603 9.03657769356195 2794.97992703038 2652.8262385677 2944.75102776445 326.192215885098 322.880997586331 329.537391483005
"Organic Disorders" "All Causes" "Males" 37999 50 8.09682484820503 7.68968762321773 8.52551830903601 2897.41140554894 2754.49477276078 3047.74325078531 357.845385057485 354.231874328357 361.495757121619
"Organic Disorders" "All Causes" "Males" 37999 51 7.68082928136982 7.29991983100912 8.0816145677305 3024.78735102886 2877.69361164758 3179.39980889971 393.809996319748 389.853201281392 397.806950646073
"Organic Disorders" "All Causes" "Males" 37999 52 7.31267428110134 6.95508152780579 7.68865252372556 3177.65276528629 3025.2840307233 3337.69556649444 434.540448970703 430.235169244568 438.888810794363
"Organic Disorders" "All Causes" "Males" 37999 53 6.98570308802974 6.65208832103653 7.3360492643766 3356.74717718924 3199.53831287788 3521.68047690386 480.516726074595 475.883167723443 485.195400253432
"Organic Disorders" "All Causes" "Males" 37999 54 6.69423291204223 6.38640758001097 7.01689544853515 3562.91225337678 3402.22981789143 3731.18348987073 532.236075468404 527.310604929462 537.207553540294
"Organic Disorders" "All Causes" "Males" 37999 55 6.43338205227794 6.15299359255533 6.72654765651778 3796.9914407227 3634.69816188978 3966.53129332356 590.201453895973 585.02713301774 595.421539483294
"Organic Disorders" "All Causes" "Males" 37999 56 6.19892986522782 5.94678194515843 6.46176904221257 4059.7173998697 3897.81401782684 4228.34575775723 654.906167376111 649.521523302214 660.335451066651
"Organic Disorders" "All Causes" "Males" 37999 57 5.98720300675473 5.76290762384684 6.22022808343485 4351.58406802836 4191.84984890743 4517.40510363314 726.814184038678 721.239400436674 732.432057649618
"Organic Disorders" "All Causes" "Males" 37999 58 5.79498282280585 5.59679681728055 6.00018671625318 4672.70151364226 4516.289128331 4834.53092022554 806.33569701934 800.557219220454 812.155884273679
"Organic Disorders" "All Causes" "Males" 37999 59 5.6194298793049 5.44424925328082 5.80024732508253 5022.63344946713 4869.63490797866 5180.43903586552 893.797690752288 887.755484392245 899.881021338921
"Organic Disorders" "All Causes" "Males" 37999 60 5.45802248386907 5.30160945472227 5.61905015615317 5400.21945731887 5249.32961547648 5555.44656621039 989.409529418203 982.994825757074 995.866093343477
"Organic Disorders" "All Causes" "Males" 37999 61 5.30850671997903 5.16606959395642 5.4548710743327 5803.38670327386 5651.92864271939 5958.90347467856 1093.22395343917 1086.29522563797 1100.19687481483
"Organic Disorders" "All Causes" "Males" 37999 62 5.16885603243294 5.03597873780435 5.30523937352183 6228.95917221474 6073.54339686385 6388.35187860071 1205.09434449905 1197.51192165327 1212.72477783656
"Organic Disorders" "All Causes" "Males" 37999 63 5.03731193834208 4.91089284148814 5.16698539006898 6673.58380801797 6511.282079164 6839.93110744755 1324.83036383377 1316.49460063656 1333.21890730675
"Organic Disorders" "All Causes" "Males" 37999 64 4.91256323014396 4.79100642266177 5.03720416153285 7137.50730276358 6966.52648548282 7312.68453556631 1452.9089944262 1443.76488584293 1462.11101737115
"Organic Disorders" "All Causes" "Males" 37999 65 4.79348328313605 4.67627108035478 4.91363344657973 7622.26542088839 7441.92849801661 7806.97236770752 1590.13080273051 1580.15829442418 1600.16624835284
"Organic Disorders" "All Causes" "Males" 37999 66 4.67904148196464 4.5663072200315 4.79455895869285 8129.7626720962 7940.31734236286 8323.72791349179 1737.4846330028 1726.68844683742 1748.34832273891
"Organic Disorders" "All Causes" "Males" 37999 67 4.5682940051798 4.46049608162033 4.67869710809849 8662.31970773723 8464.70194476704 8864.5510744109 1896.18262264103 1884.58111536131 1907.85554895921
"Organic Disorders" "All Causes" "Males" 37999 68 4.46037659328764 4.35807133140001 4.5650834603382 9222.72657239709 9018.32476832085 9431.76117675309 2067.70132061859 2055.3145369827 2080.16275580103
"Organic Disorders" "All Causes" "Males" 37999 69 4.35449903732616 4.25818936741608 4.45298699282146 9814.30350893807 9604.73297261098 10028.4467710059 2253.83067599998 2240.66740815797 2267.07127420331
"Organic Disorders" "All Causes" "Males" 37999 70 4.24994115558846 4.15997802943587 4.34184981222459 10440.9713765502 10227.8531482079 10658.5303588409 2456.73316272175 2442.77694183355 2470.76911913478
"Organic Disorders" "All Causes" "Males" 37999 71 4.14605004846032 4.06257004489129 4.23124544669797 11107.3341724655 10892.0682345139 11326.8545296003 2679.01594111009 2664.21033757488 2693.9038226445
"Organic Disorders" "All Causes" "Males" 37999 72 4.04223843692622 3.96512843103399 4.12084800408414 11818.7766711288 11602.3029074561 12039.2893648942 2923.81977351044 2908.05410153186 2939.6709172183
"Organic Disorders" "All Causes" "Males" 37999 73 3.93798390045938 3.86687051598246 4.01040509015783 12581.5808383926 12364.1314346799 12802.8545498154 3194.92947569564 3178.02679493542 3211.92205519975
"Organic Disorders" "All Causes" "Males" 37999 74 3.83282883596086 3.76709619746277 3.89970845333536 13403.0654793127 13183.9320772579 13625.8411519448 3496.91208581004 3478.62182878618 3515.29851123577
"Organic Disorders" "All Causes" "Males" 37999 75 3.72638096228746 3.66522333914697 3.78855905663041 14291.7545833742 14069.1216061383 14517.910555431 3835.29078964625 3815.28787059138 3855.3985806752
"Organic Disorders" "All Causes" "Males" 37999 76 3.618314195802 3.56082689592902 3.67672959180077 15257.5811010177 15028.5006039666 15490.1534882787 4216.76512192325 4194.65583544931 4238.9909425224
"Organic Disorders" "All Causes" "Males" 37999 77 3.50836972235503 3.45366930263884 3.56393650640867 16312.1344986337 16072.7095274795 16555.1260318983 4649.49129924767 4624.8243263939 4674.28983592025
"Organic Disorders" "All Causes" "Males" 37999 78 3.39635709120558 3.34370515452992 3.44983811606563 17468.9624978903 17214.743472699 17726.9357069804 5143.44105427661 5115.72051651387 5171.31180122521
"Organic Disorders" "All Causes" "Males" 37999 79 3.28215515761509 3.23105197216362 3.33406660476763 18743.940043171 18470.4479865831 19021.4816986138 5710.86348543952 5679.56069360796 5742.33880201892
"Organic Disorders" "All Causes" "Males" 37999 80 3.16571270416757 3.11593687334547 3.21628368374742 20155.7219341957 19858.9610084404 20456.9174850565 6366.88285316013 6331.44353441809 6402.52053824724
"Organic Disorders" "All Causes" "Males" 37999 81 3.04704857716677 2.99863943095847 3.09623922628349 21726.2999428248 21403.1406212681 22054.3385458364 7130.2768540128 7090.11983584517 7170.66131348544
"Organic Disorders" "All Causes" "Males" 37999 82 2.92625118451471 2.87944541198483 2.97381779117363 23481.6909139217 23130.0463284428 23838.6815290947 8024.4959961686 7978.99600925466 8070.2554454017
"Organic Disorders" "All Causes" "Males" 37999 83 2.8034772159263 2.75861329584549 2.84907076756803 25452.7897450379 25071.4995134009 25839.8786821199 9079.00717025367 9027.44667840114 9130.86215116992
"Organic Disorders" "All Causes" "Males" 37999 84 2.67894946561563 2.6363467664658 2.72224061364401 27676.4308063578 27264.6659506153 28094.414344432 10331.0761033701 10272.5360745872 10389.9497338017
"Organic Disorders" "All Causes" "Males" 37999 85 2.55295366192052 2.51276525902918 2.59378482589794 30196.7140542348 29752.5041166402 30647.556121612 11828.1481190373 11761.2821053993 11895.3942837286
"Organic Disorders" "All Causes" "Males" 37999 86 2.42583423764716 2.38787237371445 2.46439961084993 33066.6688314132 32583.8525898427 33556.6392768177 13631.050431329 13553.6505846072 13708.8922797267
"Organic Disorders" "All Causes" "Males" 37999 87 2.29798900885106 2.2615455819676 2.33501969931815 36350.3505298376 35813.1192500977 36895.6407961716 15818.330892719 15726.5645660459 15910.6326865423
"Organic Disorders" "All Causes" "Males" 37999 88 2.16986276763922 2.13361077116758 2.20673071865418 40125.494830844 39500.5151173359 40760.3630139363 18492.180901606 18379.394383869 18605.6595421799
"Organic Disorders" "All Causes" "Males" 37999 89 2.04193983536122 2.00405579240349 2.08054002640039 44486.8937693508 43715.2531471181 45272.1550207007 21786.5840114144 21641.659555133 21932.4789615701
"Organic Disorders" "All Causes" "Males" 37999 90 1.91473566492916 1.87326980569472 1.95711939380354 49550.7110472124 48542.8181864453 50579.5307527061 25878.6170617683 25683.9134350826 26074.7966902457
"Organic Disorders" "All Causes" "Males" 37999 91 1.78878762336294 1.74206678973195 1.83676147226753 55460.025936607 54092.6639508128 56861.9522914605 31004.2540613857 30732.9558117644 31277.947223514
"Organic Disorders" "All Causes" "Males" 37999 92 1.66464512618096 1.61148858286673 1.71955509060357 62391.9928984988 60503.0645681665 64339.8942785864 37480.6569383584 37092.9671250408 37872.3988241576
"Organic Disorders" "All Causes" "Males" 37999 93 1.54285933199629 1.48260612625001 1.6055612317945 70567.1377409486 67945.1572677691 73290.2995474002 45737.8947500303 45175.1857340873 46307.6129554538
"Organic Disorders" "All Causes" "Males" 37999 94 1.423972636654 1.35642326305652 1.49488594391267 80261.4949945963 76629.1248414768 84066.0465859949 56364.492496985 55540.2376467028 57200.9798490894
"Organic Disorders" "All Causes" "Males" 37999 95 1.30850822956355 1.23384961138175 1.38768434259837 91822.5454825698 86813.4882207659 97120.6206742628 70173.4566187613 68959.2352042512 71409.0578185762
"Organic Disorders" "All Causes" "Males" 37999 96 1.19695998886418 1.11569650804262 1.28414242100238 105690.266914165 98817.7600674897 113040.737947898 88298.9138295725 86502.8026810592 90132.3187438115
"Organic Disorders" "All Causes" "Males" 37999 97 1.08978299537291 1.00267577992944 1.18445762905285 122425.105734379 113039.026705778 132590.548157187 112338.975974283 109672.001136818 115070.805603399
"Organic Disorders" "All Causes" "Males" 37999 98 0.98738493703017 0.895396686260974 1.08882356706636 142745.376404021 129973.526530698 156772.252231788 144569.125019637 140592.756426057 148657.956784109
"Organic Disorders" "All Causes" "Males" 37999 99 0.890118655459316 0.794361546735755 0.997418900817292 167577.583909364 150244.812838528 186909.924531509 188264.320584193 182307.547854462 194415.726732954
"Organic Disorders" "All Causes" "Males" 37999 100 0.798276054605142 0.699961533958895 0.910399541174462 198124.57776062 174640.706381196 224766.316663562 248190.555908157 239217.653236583 257500.026476222
"Organic Disorders" "All Causes" "Females" 52145 35 17.4677977686159 7.92997990042518 38.4772676244618 724.74871359871 329.916845940127 1592.10026504166 41.4905601266379 38.8585407785514 44.3008549763234
"Organic Disorders" "All Causes" "Females" 52145 36 19.9301110470665 11.0926031732315 35.8084860825945 1014.45382939476 565.726577611089 1819.10592979276 50.9005608146913 48.5214877203092 53.3962830279346
"Organic Disorders" "All Causes" "Females" 52145 37 21.65224290863 14.1735237687584 33.0771395048351 1319.08567050196 864.738834614939 2012.15319177658 60.9214332237243 58.8127513408186 63.1057201273428
"Organic Disorders" "All Causes" "Females" 52145 38 22.5176193741104 16.6524663520951 30.4485336620132 1606.04838556866 1189.22082140943 2168.97599701516 71.3240755554838 69.3851716913373 73.3171602784906
"Organic Disorders" "All Causes" "Females" 52145 39 22.5358150656269 18.0961480280681 28.0646997297111 1845.60252548248 1483.98461049393 2295.33962682643 81.8964177735686 79.9433477183654 83.8972026511979
"Organic Disorders" "All Causes" "Females" 52145 40 21.8202680646701 18.3294818702717 25.9758623720991 2017.71896671185 1697.56126718589 2398.2579641309 92.4699440323923 90.3474218404838 94.6423304081743
"Organic Disorders" "All Causes" "Females" 52145 41 20.5488589285119 17.5666816726039 24.0373003355785 2115.31548710305 1811.40382662926 2470.21649407934 102.940776150252 100.597755787305 105.338367754657
"Organic Disorders" "All Causes" "Females" 52145 42 18.9217351455882 16.2621399061735 22.0162944720374 2143.53518060874 1845.34911920456 2489.90449703518 113.284282023603 110.761484378296 115.86454105086
"Organic Disorders" "All Causes" "Females" 52145 43 17.1271313923012 14.7887262825674 19.8352869695701 2116.29447653917 1830.21296526218 2447.09353306795 123.563860641045 120.950850244075 126.233322260317
"Organic Disorders" "All Causes" "Females" 52145 44 15.3201678512548 13.3451325066107 17.5875018756356 2051.92091977204 1789.90261445667 2352.29527405109 133.935929403278 131.332277092754 136.591198920967
"Organic Disorders" "All Causes" "Females" 52145 45 13.6145234278865 12.0178708151159 15.4233017661776 1969.39667374337 1740.59225189144 2228.27790617636 144.654102964006 142.137759110189 147.214995053494
"Organic Disorders" "All Causes" "Females" 52145 46 12.0838740991266 10.838112175703 13.4728272669931 1886.00510095101 1693.44772856478 2100.45765264207 156.076195885501 153.676802575668 158.513051506879
